x,y,t 
59.80852654,80.58945525,0
59.80852654,80.58945525,0.333333333
66.39760149,67.41130533,0.666666667
64.87704574,60.82223038,1
67.41130533,56.76741502,1.333333333
67.41130533,49.67148814,1.666666667
67.91815725,41.0550055,2
66.90445341,34.97278247,2.333333333
67.91815725,29.90426327,2.666666667
68.42500917,24.32889215,3
70.95926877,19.76722487,3.333333333
71.46612069,14.69870567,3.666666667
72.98667645,8.109630717,4
72.98667645,3.547963439,4.333333333
72.98667645,-3.547963439,4.666666667
74.50723221,-9.630186476,5
71.97297261,-16.72611335,5.333333333
71.97297261,-24.32889215,5.666666667
70.45241685,-29.39741135,6
69.94556493,-33.95907863,6.333333333
71.46612069,-37.50704207,6.666666667
69.94556493,-41.0550055,7
77.04149181,-45.61667278,7.333333333
77.54834373,-49.67148814,7.666666667
77.04149181,-55.24685926,8
76.53463989,-58.28797078,8.333333333
76.02778797,-61.83593422,8.666666667
74.50723221,-64.87704574,9
75.01408413,-65.38389766,9.333333333
